id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Groove,Soul Circuit,r&b,romantic,0.62,95,0.78,0.76,0.45
12,Concrete Jungle,Metro Rhymes,hip-hop,energetic,0.87,140,0.55,0.91,0.08
13,Mountain Echo,Pine & Wire,folk,melancholic,0.31,68,0.38,0.42,0.94
14,Cathedral Silence,Veldt Ensemble,classical,dreamy,0.22,56,0.62,0.28,0.97
15,Island Breeze,The Riddim Kings,reggae,nostalgic,0.55,86,0.83,0.77,0.52
16,Iron Curtain,Shredline,metal,intense,0.97,178,0.31,0.58,0.04
17,Pulse Nation,Byte Drop,electronic,energetic,0.90,148,0.66,0.93,0.03
18,Delta Dust,Hound & Wire,blues,melancholic,0.45,82,0.34,0.55,0.78
19,Porch Swing Days,Driftwood June,country,relaxed,0.33,76,0.72,0.49,0.85
20,Cherry Blossom Bass,Neo Groove,soul,playful,0.73,112,0.86,0.85,0.32
